,bitcoin,dogecoin,ethereum
usd,100476.0,0.164378,3268.92
usd_24h_change,-2.2461447207048213,0.9708837749550118,-3.3733024653230874
krw,146499839.0,239.67,4766266.0
krw_24h_change,-1.4930432850621072,1.7487693868499454,-2.6288847190677775
